,Country,HDI.Rank,Human.Development.Index..HDI.,Life.Expectancy.at.Birth,Expected.Years.of.Education,Mean.Years.of.Education,Gross.National.Income..GNI..per.Capita,GNI.per.Capita.Rank.Minus.HDI.Rank,GDI.Rank,Gender.Development.Index..GDI.,Human.Development.Index..Female.,Human.Development.Index..Male.,Life.Expectancy.at.Birth..Female.,Life.Expectancy.at.Birth..Male.,Expected.Years.of.Education..Female.,Expected.Years.of.Education..Male.,Mean.Years.of.Education..Female.,Mean.Years.of.Education..Male.,Estimated.Gross.National.Income.per.Capita..Female.,Estimated.Gross.National.Income.per.Capita..Male.
47,Czech Republic,28,0.87,78.6,16.4,12.3,"26,660",10,28,0.98,0.859,0.877,81.5,75.7,16.9,15.8,12.1,12.5,19929,33604
48,Denmark,4,0.923,80.2,18.7,12.7,"44,025",11,4,0.977,0.912,0.934,82.2,78.3,19.3,18.1,12.8,12.7,36439,51727
49,Djibouti,168,0.47,62,6.4,3.8,"3,276",-22,168,..,..,..,63.7,60.4,5.9,6.9,..,..,2019,4522
50,Dominica,94,0.724,77.8,12.7,7.9,"9,994",4,94,..,..,..,..,..,..,..,..,..,..,..
51,Dominican Republic,101,0.715,73.5,13.1,7.6,"11,883",-12,101,0.995,0.71,0.713,76.7,70.4,13.6,12.6,7.7,7.2,8860,14903
52,East Asia and the Pacific,NA,0.71,74,12.7,7.5,"11,449",NA,NA,0.948,0.692,0.73,76,72.2,13,12.8,6.9,8,9017,13780
53,Ecuador,88,0.732,75.9,14.2,7.6,"10,605",7,88,0.98,0.722,0.737,78.7,73.2,14.5,13.9,7.4,7.6,8487,12723
54,Egypt,108,0.69,71.1,13.5,6.6,"10,512",-12,108,0.868,0.633,0.729,73.4,69,13.3,13.8,5.4,7.7,4928,16049
55,El Salvador,116,0.666,73,12.3,6.5,"7,349",-3,116,0.965,0.652,0.676,77.4,68.3,12.1,12.4,6.2,6.9,5497,9406
56,Equatorial Guinea,138,0.587,57.6,9,5.5,"21,056",-84,138,..,..,..,59,56.3,..,..,4,7.2,17073,24850
57,Eritrea,186,0.391,63.7,4.1,3.9,"1,130",-6,186,..,..,..,65.9,61.6,..,..,..,..,971,1290
58,Estonia,30,0.861,76.8,16.5,12.5,"25,214",12,30,1.03,0.872,0.847,81.3,72,17.4,15.6,12.7,12.2,20854,30254
59,Ethiopia,174,0.442,64.1,8.5,2.4,"1,428",2,174,0.84,0.403,0.479,66,62.2,8,9,1.4,3.6,1090,1765
